,Lopend_gemiddelde,Latitude,Longitude,elevation,industry_3000,industry_5000,nightlight_450,nightlight_4950,nightlight_900,population_3000,population_5000,road_class_1_1000,road_class_1_5000,road_class_2_1000,road_class_2_25,road_class_2_3000,road_class_2_500,road_class_2_5000,road_class_3_100,road_class_3_1000,road_class_3_25,road_class_3_300,road_class_3_3000,road_class_3_50,road_class_3_5000,Rsp,oct,BldDen100,BldDen500,NDVI,trafBuf25,trafBuf50,trafBuf800
27,32.7,52.337293,4.945705,1.651351333,2551250.0,3055609.75,26.95290184,26.44291878,26.70242119,85396.0625,208823.2031,12950.67578,125027.8438,0.0,0.0,16007.58691,0.0,44540.30469,0.0,29315.33203,0.0,2073.108154,193126.1094,0.0,432825.9375,8.822424889,80.30522156,0.642983083,0.68894854,2059.0,0.0,0.0,1251.187735
28,29.8,52.334993,4.942905,2.578203678,2550028.5,3030992.0,27.05615616,27.69497108,28.02311134,86682.79688,215622.5,12718.83984,124853.2188,492.0111389,0.0,17470.08008,0.0,44140.0625,350.2258301,27717.82031,47.07037735,2191.923096,190173.6406,108.6357193,443088.9688,8.782471657,80.30522156,0.605708556,0.666912319,2719.0,0.0,0.0,1444.017029
29,38.1,52.370133,4.866425,5.323777199,1234012.125,10188826.0,38.79024124,35.90926361,40.44129562,132260.625,337653.0,0.0,82677.46875,1576.05188,0.0,24770.64648,18.6222477,71428.21875,359.5319824,29397.26953,28.68354607,1962.899414,273136.9688,92.12274933,586117.1875,9.665797234,81.13674927,0.971607186,0.927232894,1880.0,0.0,0.0,580.75
30,38.4,52.371223,4.871065,5.292201042,1422476.0,10040418.0,39.56876373,35.92507172,41.22536469,131833.4063,338639.1875,0.0,83220.48438,2216.704102,0.0,26028.75,944.3492432,70623.25781,908.2457275,27446.99023,121.360878,3507.855957,266973.5938,295.6666565,591330.375,9.657505989,81.13674927,0.926783153,0.938426645,1493.0,0.0,0.0,580.75
31,26.6,52.343593,4.893505,6.806306839,1514774.125,2859413.75,40.34365463,32.95209503,38.63539505,119450.7031,282880.0313,3700.511719,86994.33594,3855.680908,0.0,30325.74609,1380.741821,63091.94531,214.9511261,23346.83789,0.0,3356.485596,235287.5,2.946830511,536542.75,9.268940926,80.92271423,0.998880217,0.980490927,894.0,0.0,0.0,2333.370295
32,26.6,52.353793,4.905405,6.949454784,1099432.125,4404312.5,39.03952789,33.3934288,41.41160583,129019.25,291888.5625,0.0,97446.64844,8271.882813,0.0,33620.53516,1448.087402,61949.14063,426.4683228,37462.27734,57.92884064,4108.027344,246530.0625,133.7828369,553733.0,9.424015045,80.73773956,0.998892194,0.891609201,1472.0,0.0,0.0,1177.401795
33,40.5,52.381333,4.845285,5.151553631,5476652.5,17114238.0,42.35194778,33.85356903,41.32702637,120947.0703,319230.875,9082.969727,83226.35156,740.5933228,0.0,22466.44141,712.4822998,53212.97656,380.4152832,33805.19531,39.67267227,2488.99585,195510.9688,110.358284,492715.7188,9.594774246,81.06783295,0.992271217,0.884308121,1246.0,0.0,1749.166667,1428.733072
34,44.2,52.342693,4.892355,6.384309292,1576334.875,2765189.0,40.07126999,32.92601013,38.21574402,115018.3203,278686.5,4715.555176,86281.78906,4160.982422,0.0,30312.19336,1701.158691,63123.34375,701.9931641,20757.25391,71.23767853,3403.788086,233365.1875,196.5626831,535159.125,9.243839264,80.92271423,0.998879065,0.954379669,894.0,580.75,580.75,2800.589611
35,53.4,52.371493,4.910305,4.809550285,1611929.75,6257037.5,57.5760231,32.46937943,58.18989944,121235.5625,300600.0625,2998.457764,99056.40625,5095.405273,0.0,33552.59375,562.4040527,58570.35547,691.5585938,16016.03906,86.00067902,2188.865723,243042.9375,227.4239044,569194.3125,9.544909477,80.72951508,0.962340007,0.738780124,1299.0,1637.333333,1637.333333,1632.651807
36,27.5,52.384093,4.849605,4.827134609,6556509.0,17532946.0,37.02204514,33.95661545,38.09774017,120437.9688,315193.5625,8090.433594,79067.33594,3184.803711,0.0,20041.12891,497.2159729,57987.20703,694.8817139,25346.45703,62.41988373,3986.409912,187360.3438,145.0304565,491309.5625,9.74455452,81.06783295,0.979173682,0.761543788,1716.0,0.0,0.0,1402.846424
