,Longitude,Latitude,mean_value_NO2,nightlight_450,nightlight_3150,population_1000,population_3000,road_class_2_25,road_class_3_3000,road_class_3_300,trop_mean_filt_2019,BldDen100,NDVI,trafBuf25,trafBuf50
461,9.786234,53.568124,25.20446846,4.563382,4.416206,1656.222412,24204.95898,0.0,120890.9688,1654.359985,6.74e-05,0.504851998,4421.0,0.0,0.0
462,9.80026,50.970024,15.72436045,4.611543,0.796003,3636.662109,9515.876953,0.0,86448.32031,3812.186523,4.45e-05,1.000722856,2160.0,0.0,0.0
463,9.800325,48.089886,16.36770236,15.180265,5.36945,5103.0,22317.79297,0.0,122679.375,878.187866,4.31e-05,0.927215941,3088.0,0.0,0.0
464,9.832702,53.532075,15.85796704,35.248409,13.751884,1901.083618,23264.92969,0.0,62159.35547,401.266998,7.26e-05,0.201914248,4760.0,0.0,0.0
465,9.84408,53.535958,17.70020533,26.685146,16.252127,5918.007812,26813.79297,0.0,83756.96875,1490.280518,7.55e-05,0.692855537,3662.0,0.0,0.0
466,9.857223,53.480927,12.83061731,6.292647,4.108326,3857.463135,25079.32227,0.0,92607.54688,2094.57959,6.62e-05,0.503828274,4605.0,0.0,0.0
467,9.92833,51.5302,38.32565224,17.346895,8.53116,8986.547852,55550.10938,0.0,190290.1563,4819.274414,4.86e-05,0.953254178,3426.0,396.2083333,396.2083333
468,9.935862,50.497711,5.261620208,0.21407,0.061712,253.04657,887.090332,0.0,25620.45117,0.0,3.33e-05,0.004796521,6163.0,0.0,0.0
469,9.943012,53.555668,46.64577003,25.013302,36.216831,11970.35059,91648.9375,0.0,230325.2656,5383.780273,8.68e-05,0.926296334,3516.0,0.0,0.0
470,9.94458,53.564399,44.10140411,24.072697,27.627209,11892.24023,96741.17969,28.705303,260094.5313,2639.065918,8.48e-05,0.952378243,2240.0,483.0416667,483.0416667
471,9.944815,53.545269,29.77462322,40.883343,45.660076,7668.340332,86150.24219,0.0,177939.875,3444.119385,8.8e-05,0.883233594,,0.0,0.0
472,9.947654,49.790526,37.88735021,12.479074,9.601775,9414.227539,52894.98438,108.391037,190956.7188,4305.725098,5.99e-05,0.90076025,2057.0,508.5833333,508.5833333
473,9.94976,51.55107,15.59048341,11.290537,6.442118,5880.34082,42322.91797,0.0,147527.875,917.907471,4.75e-05,0.185184923,5078.0,0.0,0.0
474,9.95642,49.804695,24.09691772,10.798859,8.172154,6585.372559,48584.9375,0.0,178581.0625,2171.47168,5.81e-05,1.000684007,3554.0,0.0,0.0
475,9.957236,53.560632,48.575116,24.296131,31.835466,11985.28516,96637.03906,52.650749,261880.2031,3025.880859,8.53e-05,0.965745907,3479.0,483.0416667,483.0416667
476,9.967882,53.56414,25.4241142,31.160904,29.282915,11706.42676,95543.83594,0.0,270900.375,2056.76416,8.36e-05,0.512826645,3037.0,0.0,0.0
477,9.979031,48.396836,27.22180784,29.130899,12.865678,10829.85449,54732.38281,0.0,198280.7031,3127.346436,5.85e-05,0.964609444,2607.0,0.0,0.0
478,9.981599,53.529158,32.76347516,33.719387,36.813637,9855.304688,83610.52344,0.0,117941.5,1480.759766,8.82e-05,1.000696455,,0.0,0.0
479,9.990569,53.50793,24.96681091,17.9198,25.516184,9541.226562,76877.67188,0.0,94117.64063,2670.007568,8.17e-05,0.485095817,4338.0,0.0,0.0
480,9.997256,53.681993,39.25682404,13.382681,7.228415,7302.048828,44593.98438,54.294807,171093.4375,2462.917969,6.28e-05,1.000693887,4006.0,674.7916667,674.7916667
481,9.998009,53.638291,21.1868256,29.135727,16.283918,5944.749023,59050.46094,0.0,152820.1719,808.816833,6.91e-05,0.491189555,3738.0,0.0,0.0
