FID;Longitude;Latitude;wkd_day_value;wnd_day_value;wkd_night_value;wnd_night_value;mean_value_NO2;radiation;nightlight_450;nightlight_4950;nightlight_3150;nightlight_900;elevation;industry_1000;industry_100;industry_25;industry_3000;industry_300;industry_5000;industry_500;industry_50;population_1000;population_3000;population_5000;road_class_1_1000;road_class_1_100;road_class_1_25;road_class_1_3000;road_class_1_300;road_class_1_5000;road_class_1_500;road_class_1_50;road_class_2_1000;road_class_2_100;road_class_2_25;road_class_2_3000;road_class_2_300;road_class_2_5000;road_class_2_500;road_class_2_50;road_class_3_1000;road_class_3_100;road_class_3_25;road_class_3_3000;road_class_3_300;road_class_3_5000;road_class_3_500;road_class_3_50;temperature_2m_10;temperature_2m_11;temperature_2m_12;temperature_2m_1;temperature_2m_2;temperature_2m_3;temperature_2m_4;temperature_2m_5;temperature_2m_6;temperature_2m_7;temperature_2m_8;temperature_2m_9;TROP_2018;wind_speed_10m_10;wind_speed_10m_11;wind_speed_10m_12;wind_speed_10m_1;wind_speed_10m_2;wind_speed_10m_3;wind_speed_10m_4;wind_speed_10m_5;wind_speed_10m_6;wind_speed_10m_7;wind_speed_10m_8;wind_speed_10m_9;trop_mean_filt_2019
273;6.608897;53.246944;12.20265931;8.282238095;10.95487899;9.447589499;10.89643426;2.766479;4.818057;7.091336;5.756827;5.465701;1.982578;0;0;0;223750;0;2395000;0;0;3583.797119;32227.85156;83621.5;0;0;0;29331.41797;0;62244.65625;0;0;0;0;0;6435.175293;0;12766.63379;0;0;11089.35547;193.274445;19.784138;119040.875;1143.247803;308573.5625;3264.461914;100.226036;13.106724;7.397335;4.545715;1.388639;4.025794;7.420578;8.016266;13.777981;16.72946;17.278992;17.161797;13.894624;305.593109;5.60269;4.428611;5.056421;3.9736;5.109301;4.2366;4.305586;3.748405;4.040489;3.561613;3.602593;3.713863;4.77E-05
274;6.629658;51.67286;22.80411714;14.56333812;23.8682002;21.07284483;21.32291498;2.891137;8.120816;2.766785;5.077918;7.519033;27.811338;665625;30000;3125;785625;187500;1463750;334375;8125;5698.663086;28360.79102;39066.84766;0;0;0;0;0;14359.69629;0;0;1280.365723;0;0;23206.44141;0;36956.64844;0;0;24850.91797;26.87326;0;136263.8125;1843.544678;179394.9375;5244.842773;0;13.272908;6.913887;4.400306;0.579639;5.185592;8.587487;8.491702;15.305344;18.974846;18.847437;18.448084;14.325979;648.261719;3.818633;3.079751;3.704154;2.814529;3.615033;3.313965;2.787462;2.650517;3.143703;2.702755;2.436143;2.819918;0.000101649
275;6.646718;49.754231;36.9158523;26.64540136;23.24236058;21.17778571;30.20511918;3.020526;28.453745;6.418242;11.398324;25.085972;141.356293;55625;0;0;611875;11250;1639375;11250;0;8315.447266;43289.48438;73072.1875;0;0;0;2095.181152;0;24656.66992;0;0;0;0;0;26197.19531;0;40645.8125;0;0;32617.36719;878.944946;110.488853;152650.4219;3767.657959;256942.9844;9660.951172;276.389038;11.141404;5.111865;2.810444;-2.446191;3.994285;7.437946;7.672088;14.575818;18.668095;18.89797;17.929974;12.638187;342.006256;3.013426;2.799863;3.524678;2.758007;3.176956;3.278838;2.410741;2.332079;2.805447;2.714718;2.217705;2.551678;5.52E-05
276;6.670194;51.342572;30.90634815;21.47594059;31.87014392;27.24504926;28.9908601;2.898772;22.080029;12.030035;10.727667;19.580963;35.103157;1346250;30625;3125;4127500;180625;9434375;406250;8125;5348.979004;30898.83984;93892.21875;0;0;0;2753.492432;0;50103.96484;0;0;0;0;0;6409.474609;0;13694.43555;0;0;4940.188965;51.481781;0;85686.32031;256.632263;283430.375;471.802185;9.46544;13.32384;6.909915;4.473519;0.638744;5.499774;8.841845;8.543917;15.501609;19.320648;19.146914;18.635038;14.478394;952.822754;3.83306;3.111619;3.795965;2.913057;3.633988;3.497058;2.805669;2.695361;3.183817;2.800162;2.502351;2.943285;0.000129455
277;6.690258;49.784023;20.46470816;14.81706803;16.56760096;14.9985119;17.9404944;3.006552;6.532234;4.464159;5.431778;6.776471;133.408859;296250;0;0;668750;0;896875;44375;0;5103.550781;23355.80469;50726.125;3469.052002;0;0;24071.14063;0;35916.80859;0;0;2472.387695;0;0;11186.61328;0;29460.6582;713.432495;0;11602.66016;306.275848;75.732841;68503.40625;3633.30542;195050.1563;7933.192871;130.289917;11.209735;5.176476;2.870665;-2.430451;4.021559;7.482963;7.755589;14.666425;18.748142;19.003922;18.000202;12.728365;345.265747;3.004061;2.790938;3.510519;2.744395;3.161291;3.256779;2.38925;2.309891;2.790645;2.702377;2.206196;2.53973;5.33E-05
278;6.704074;51.219577;33.32871457;17.89477573;28.08091549;20.50488889;27.91812399;2.910895;34.708927;13.811391;18.116909;31.9459;37.984562;2203125;17500;1250;6797500;213125;7606250;623750;3750;8560.141602;67498.03125;158139.2188;0;0;0;22146.22266;0;86629.42188;0;0;5629.757324;0;0;14386.35547;381.087891;37509.60938;2482.334717;0;4048.89502;0;0;152472.6406;0;397934.9063;578.431396;0;13.325385;6.898113;4.494281;0.407449;5.533807;8.895882;8.537645;15.542147;19.400263;19.28373;18.702902;14.494808;931.764771;3.789807;3.07673;3.783142;2.915793;3.618387;3.504977;2.799116;2.645203;3.135479;2.800944;2.488693;2.924031;0.000140541
279;6.727486;51.460721;31.91090782;17.66186335;25.16877069;19.07403226;26.36897379;2.85957;20.242661;23.290756;24.783815;19.622402;22.275473;585625;0;0;7645625;11250;17170000;28125;0;5611.101562;58923.34375;157763.2344;0;0;0;21550.40625;0;98183.94531;0;0;3144.767578;0;0;9703.1875;0;14960.41016;0;0;16253.99512;206.661972;18.028162;157528.7813;1936.938965;426332.625;4973.223633;78.554199;13.265686;6.88338;4.414442;0.615812;5.340929;8.690283;8.475373;15.40744;19.209454;19.03985;18.553539;14.402164;930.161621;3.929166;3.186854;3.868254;2.952802;3.714061;3.503854;2.84915;2.71798;3.24163;2.818002;2.527025;2.967479;0.000137931
280;6.732353;51.249214;26.1513002;18.66573188;25.95535503;23.38313119;24.41518891;2.909987;12.572986;20.856249;18.365538;15.90906;36.845184;31250;0;0;813750;0;7019375;0;0;7352.51416;65832.92969;186158.5938;0;0;0;39235.30078;0;77902.28125;0;0;0;0;0;12744.82227;0;36988.48438;0;0;16829.7832;361.22522;43.502533;182628.1875;1493.011353;436851.2813;3851.688477;148.723969;13.270359;6.84613;4.426554;0.366318;5.488256;8.848509;8.502668;15.509672;19.338758;19.216076;18.65358;14.450252;925.50238;3.798418;3.079442;3.778233;2.914918;3.618854;3.504231;2.79934;2.657678;3.144461;2.798459;2.494336;2.930467;0.000140044
281;6.73354;49.357861;18.26382418;13.67247619;16.20045673;15.83533333;16.6667189;3.088861;34.167679;7.964566;14.998257;35.482834;187.450928;1150625;1875;0;6128125;95000;7961250;290625;0;4423.484863;24437.95703;54356.13281;0;0;0;25014.56836;0;44391.24219;0;0;0;0;0;3323.849854;0;18558.30664;0;0;19510.71875;689.179321;95.611931;103779.5391;3731.289062;305181.8125;8327.924805;190.423737;11.706585;5.624579;3.334417;-1.21643;4.743003;8.236347;8.623275;15.409591;19.89476;19.78837;19.198595;13.505947;403.585083;2.780801;2.689349;3.387854;2.77646;3.142722;3.299329;2.335704;2.352777;2.806201;2.681476;2.240561;2.470372;6.85E-05
282;6.735431;51.485492;33.18638167;24.50709395;34.51386567;30.53911111;31.59713063;2.852711;64.065781;22.922974;34.775406;61.837135;29.50938;1548750;5000;0;9839375;106250;15983750;324375;0;8706.041016;59417.46094;150321.25;4795.961914;0;0;34417.34375;363.751068;59645.45703;2322.320557;0;0;0;0;0;0;9402.702148;0;0;20641.75;382.416931;86.670166;138202.0469;2158.236084;422900.5938;4590.53125;196.630676;13.259768;6.880178;4.409203;0.615269;5.309296;8.659628;8.464346;15.391295;19.194736;19.02248;18.539438;14.388154;908.874695;3.948467;3.20316;3.88377;2.959715;3.730707;3.504345;2.857924;2.722394;3.253994;2.822465;2.53225;2.9712;0.000141415
