id_meetlocatie,ndw_index,start_meetperiode,eind_meetperiode,waarnemingen_intensiteit,waarnemingen_snelheid,gebruikte_minuten_intensiteit,gebruikte_minuten_snelheid,data_error_snelheid,data_error_intensiteit,gem_intensiteit,gem_snelheid,gewogen_gem_snelheid,rijstrook_rijbaan,voertuigcategorie,technical_exclusion
GEO01_Z_RWSTI2039,F5C,2017-07-01 00:00:00,2017-08-01 00:00:00,2438.0,2438.0,44587.0,44587.0,0,0,3.0,75.46,74.77,lane1,greaterThan 12.20,
GEO01_Z_RWSTI2039,F6C,2017-07-01 00:00:00,2017-08-01 00:00:00,151781.0,150387.0,44587.0,44587.0,0,0,204.0,92.01,90.22,lane1,anyVehicle,
GEO01_Z_RWSTI2039,F1C,2017-08-01 00:00:00,2017-09-01 00:00:00,687.0,687.0,43782.0,43782.0,0,0,1.0,96.08,96.08,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO01_Z_RWSTI2039,F2C,2017-08-01 00:00:00,2017-09-01 00:00:00,123860.0,123860.0,43782.0,43782.0,0,0,170.0,92.77,91.62,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO01_Z_RWSTI2039,F3C,2017-08-01 00:00:00,2017-09-01 00:00:00,5372.0,5372.0,43782.0,43782.0,0,0,7.0,85.97,85.7,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO01_Z_RWSTI2039,F4C,2017-08-01 00:00:00,2017-09-01 00:00:00,109.0,109.0,43782.0,43782.0,0,0,0.0,77.28,77.34,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO01_Z_RWSTI2039,F5C,2017-08-01 00:00:00,2017-09-01 00:00:00,2341.0,2341.0,43782.0,43782.0,0,0,3.0,76.06,75.95,lane1,greaterThan 12.20,
GEO01_Z_RWSTI2039,F6C,2017-08-01 00:00:00,2017-09-01 00:00:00,133701.0,132369.0,43782.0,43782.0,0,0,183.0,92.22,91.04,lane1,anyVehicle,
GEO01_Z_RWSTI2039,F1C,2017-09-01 00:00:00,2017-10-01 00:00:00,677.0,677.0,43189.0,43189.0,0,0,1.0,91.33,91.31,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO01_Z_RWSTI2039,F2C,2017-09-01 00:00:00,2017-10-01 00:00:00,150156.0,150156.0,43189.0,43189.0,0,0,209.0,91.93,89.69,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO01_Z_RWSTI2039,F3C,2017-09-01 00:00:00,2017-10-01 00:00:00,6884.0,6884.0,43189.0,43189.0,0,0,10.0,84.0,82.84,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO01_Z_RWSTI2039,F4C,2017-09-01 00:00:00,2017-10-01 00:00:00,153.0,153.0,43189.0,43189.0,0,0,0.0,75.96,75.32,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO01_Z_RWSTI2039,F5C,2017-09-01 00:00:00,2017-10-01 00:00:00,2818.0,2818.0,43189.0,43189.0,0,0,4.0,74.76,74.17,lane1,greaterThan 12.20,
GEO01_Z_RWSTI2039,F6C,2017-09-01 00:00:00,2017-10-01 00:00:00,162180.0,160688.0,43189.0,43189.0,0,0,225.0,91.29,89.04,lane1,anyVehicle,
GEO01_Z_RWSTI2039,F1C,2017-10-01 00:00:00,2017-11-01 00:00:00,572.0,572.0,44414.0,44414.0,0,0,1.0,86.01,85.96,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO01_Z_RWSTI2039,F2C,2017-10-01 00:00:00,2017-11-01 00:00:00,147778.0,147778.0,44414.0,44414.0,0,0,200.0,92.2,89.85,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO01_Z_RWSTI2039,F3C,2017-10-01 00:00:00,2017-11-01 00:00:00,6720.0,6720.0,44414.0,44414.0,0,0,9.0,82.67,81.56,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO01_Z_RWSTI2039,F4C,2017-10-01 00:00:00,2017-11-01 00:00:00,184.0,184.0,44414.0,44414.0,0,0,0.0,77.42,77.36,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO01_Z_RWSTI2039,F5C,2017-10-01 00:00:00,2017-11-01 00:00:00,2693.0,2693.0,44414.0,44414.0,0,0,4.0,72.96,72.02,lane1,greaterThan 12.20,
GEO01_Z_RWSTI2039,F6C,2017-10-01 00:00:00,2017-11-01 00:00:00,159106.0,157947.0,44414.0,44414.0,0,0,215.0,91.57,89.06,lane1,anyVehicle,
GEO01_Z_RWSTI2039,F1C,2017-11-01 00:00:00,2017-12-01 00:00:00,476.0,476.0,43169.0,43169.0,0,0,1.0,81.39,79.72,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO01_Z_RWSTI2039,F2C,2017-11-01 00:00:00,2017-12-01 00:00:00,142949.0,142949.0,43169.0,43169.0,0,0,199.0,92.31,89.7,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO01_Z_RWSTI2039,F3C,2017-11-01 00:00:00,2017-12-01 00:00:00,6511.0,6511.0,43169.0,43169.0,0,0,9.0,84.72,84.14,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO01_Z_RWSTI2039,F4C,2017-11-01 00:00:00,2017-12-01 00:00:00,183.0,183.0,43169.0,43169.0,0,0,0.0,78.4,78.28,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO01_Z_RWSTI2039,F5C,2017-11-01 00:00:00,2017-12-01 00:00:00,2530.0,2530.0,43169.0,43169.0,0,0,4.0,74.44,74.34,lane1,greaterThan 12.20,
GEO01_Z_RWSTI2039,F6C,2017-11-01 00:00:00,2017-12-01 00:00:00,153369.0,152649.0,43169.0,43169.0,0,0,213.0,91.76,89.09,lane1,anyVehicle,
GEO01_Z_RWSTI2039,F1C,2017-12-01 00:00:00,2018-01-01 00:00:00,544.0,544.0,44626.0,44626.0,0,0,1.0,79.34,71.43,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO01_Z_RWSTI2039,F2C,2017-12-01 00:00:00,2018-01-01 00:00:00,129902.0,129902.0,44626.0,44626.0,0,0,175.0,91.59,89.83,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO01_Z_RWSTI2039,F3C,2017-12-01 00:00:00,2018-01-01 00:00:00,5319.0,5319.0,44626.0,44626.0,0,0,7.0,84.52,83.97,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO01_Z_RWSTI2039,F4C,2017-12-01 00:00:00,2018-01-01 00:00:00,102.0,102.0,44626.0,44626.0,0,0,0.0,77.74,77.71,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO01_Z_RWSTI2039,F5C,2017-12-01 00:00:00,2018-01-01 00:00:00,2089.0,2089.0,44626.0,44626.0,0,0,3.0,72.5,72.6,lane1,greaterThan 12.20,
GEO01_Z_RWSTI2039,F6C,2017-12-01 00:00:00,2018-01-01 00:00:00,138437.0,137956.0,44626.0,44626.0,0,0,186.0,90.84,89.16,lane1,anyVehicle,
GEO01_Z_RWSTI2040,F1C,2017-01-01 00:00:00,2017-02-01 00:00:00,45.0,45.0,44617.0,44617.0,0,0,0.0,83.76,83.76,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO01_Z_RWSTI2040,F2C,2017-01-01 00:00:00,2017-02-01 00:00:00,71690.0,71690.0,44617.0,44617.0,0,0,96.0,76.51,76.29,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO01_Z_RWSTI2040,F3C,2017-01-01 00:00:00,2017-02-01 00:00:00,3528.0,3528.0,44617.0,44617.0,0,0,5.0,67.05,66.96,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO01_Z_RWSTI2040,F4C,2017-01-01 00:00:00,2017-02-01 00:00:00,150.0,150.0,44617.0,44617.0,0,0,0.0,59.25,59.21,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO01_Z_RWSTI2040,F5C,2017-01-01 00:00:00,2017-02-01 00:00:00,1860.0,1860.0,44617.0,44617.0,0,0,3.0,56.97,56.9,lane1,greaterThan 12.20,
GEO01_Z_RWSTI2040,F6C,2017-01-01 00:00:00,2017-02-01 00:00:00,77720.0,77273.0,44617.0,44617.0,0,0,105.0,75.64,75.16,lane1,anyVehicle,
GEO01_Z_RWSTI2040,F1C,2017-02-01 00:00:00,2017-03-01 00:00:00,40.0,40.0,40309.0,40309.0,0,0,0.0,88.51,88.51,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO01_Z_RWSTI2040,F2C,2017-02-01 00:00:00,2017-03-01 00:00:00,66328.0,66328.0,40309.0,40309.0,0,0,99.0,77.57,77.12,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO01_Z_RWSTI2040,F3C,2017-02-01 00:00:00,2017-03-01 00:00:00,3387.0,3387.0,40309.0,40309.0,0,0,5.0,67.95,67.83,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO01_Z_RWSTI2040,F4C,2017-02-01 00:00:00,2017-03-01 00:00:00,168.0,168.0,40309.0,40309.0,0,0,0.0,60.37,60.38,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO01_Z_RWSTI2040,F5C,2017-02-01 00:00:00,2017-03-01 00:00:00,1881.0,1881.0,40309.0,40309.0,0,0,3.0,57.1,57.07,lane1,greaterThan 12.20,
GEO01_Z_RWSTI2040,F6C,2017-02-01 00:00:00,2017-03-01 00:00:00,72069.0,71804.0,40309.0,40309.0,0,0,107.0,76.63,75.88,lane1,anyVehicle,
GEO01_Z_RWSTI2040,F1C,2017-03-01 00:00:00,2017-04-01 00:00:00,64.0,64.0,44576.0,44576.0,0,0,0.0,86.52,86.52,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO01_Z_RWSTI2040,F2C,2017-03-01 00:00:00,2017-04-01 00:00:00,79274.0,79274.0,44576.0,44576.0,0,0,107.0,78.34,77.88,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO01_Z_RWSTI2040,F3C,2017-03-01 00:00:00,2017-04-01 00:00:00,4667.0,4667.0,44576.0,44576.0,0,0,6.0,68.72,68.55,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO01_Z_RWSTI2040,F4C,2017-03-01 00:00:00,2017-04-01 00:00:00,190.0,190.0,44576.0,44576.0,0,0,0.0,60.54,60.57,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO01_Z_RWSTI2040,F5C,2017-03-01 00:00:00,2017-04-01 00:00:00,2137.0,2137.0,44576.0,44576.0,0,0,3.0,57.67,57.64,lane1,greaterThan 12.20,
GEO01_Z_RWSTI2040,F6C,2017-03-01 00:00:00,2017-04-01 00:00:00,86906.0,86332.0,44576.0,44576.0,0,0,117.0,77.37,76.6,lane1,anyVehicle,
GEO01_Z_RWSTI2040,F1C,2017-04-01 00:00:00,2017-05-01 00:00:00,80.0,80.0,43105.0,43105.0,0,0,0.0,85.03,85.03,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO01_Z_RWSTI2040,F2C,2017-04-01 00:00:00,2017-05-01 00:00:00,72898.0,72898.0,43105.0,43105.0,0,0,101.0,78.67,78.24,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO01_Z_RWSTI2040,F3C,2017-04-01 00:00:00,2017-05-01 00:00:00,4246.0,4246.0,43105.0,43105.0,0,0,6.0,68.62,68.34,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO01_Z_RWSTI2040,F4C,2017-04-01 00:00:00,2017-05-01 00:00:00,176.0,176.0,43105.0,43105.0,0,0,0.0,61.89,61.89,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO01_Z_RWSTI2040,F5C,2017-04-01 00:00:00,2017-05-01 00:00:00,1872.0,1872.0,43105.0,43105.0,0,0,3.0,57.29,57.31,lane1,greaterThan 12.20,
GEO01_Z_RWSTI2040,F6C,2017-04-01 00:00:00,2017-05-01 00:00:00,79835.0,79272.0,43105.0,43105.0,0,0,111.0,77.71,76.93,lane1,anyVehicle,
GEO01_Z_RWSTI2040,F1C,2017-05-01 00:00:00,2017-06-01 00:00:00,71.0,71.0,43986.0,43986.0,0,0,0.0,82.98,82.98,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO01_Z_RWSTI2040,F2C,2017-05-01 00:00:00,2017-06-01 00:00:00,74838.0,74838.0,43986.0,43986.0,0,0,102.0,78.44,78.08,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO01_Z_RWSTI2040,F3C,2017-05-01 00:00:00,2017-06-01 00:00:00,4924.0,4924.0,43986.0,43986.0,0,0,7.0,69.01,68.81,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO01_Z_RWSTI2040,F4C,2017-05-01 00:00:00,2017-06-01 00:00:00,175.0,175.0,43986.0,43986.0,0,0,0.0,61.94,61.97,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO01_Z_RWSTI2040,F5C,2017-05-01 00:00:00,2017-06-01 00:00:00,2220.0,2220.0,43986.0,43986.0,0,0,3.0,57.61,57.51,lane1,greaterThan 12.20,
GEO01_Z_RWSTI2040,F6C,2017-05-01 00:00:00,2017-06-01 00:00:00,83177.0,82228.0,43986.0,43986.0,0,0,113.0,77.36,76.67,lane1,anyVehicle,
GEO01_Z_RWSTI2040,F1C,2017-06-01 00:00:00,2017-07-01 00:00:00,76.0,76.0,43090.0,43090.0,0,0,0.0,85.41,85.41,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO01_Z_RWSTI2040,F2C,2017-06-01 00:00:00,2017-07-01 00:00:00,82288.0,82288.0,43090.0,43090.0,0,0,115.0,78.37,77.68,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO01_Z_RWSTI2040,F3C,2017-06-01 00:00:00,2017-07-01 00:00:00,5410.0,5410.0,43090.0,43090.0,0,0,8.0,68.4,68.11,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO01_Z_RWSTI2040,F4C,2017-06-01 00:00:00,2017-07-01 00:00:00,196.0,196.0,43090.0,43090.0,0,0,0.0,61.93,61.98,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO01_Z_RWSTI2040,F5C,2017-06-01 00:00:00,2017-07-01 00:00:00,2470.0,2470.0,43090.0,43090.0,0,0,3.0,57.94,57.8,lane1,greaterThan 12.20,
GEO01_Z_RWSTI2040,F6C,2017-06-01 00:00:00,2017-07-01 00:00:00,91311.0,90440.0,43090.0,43090.0,0,0,127.0,77.3,76.28,lane1,anyVehicle,
GEO01_Z_RWSTI2040,F1C,2017-07-01 00:00:00,2017-08-01 00:00:00,74.0,74.0,44605.0,44605.0,0,0,0.0,82.3,82.43,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO01_Z_RWSTI2040,F2C,2017-07-01 00:00:00,2017-08-01 00:00:00,73271.0,73271.0,44605.0,44605.0,0,0,99.0,78.98,78.53,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO01_Z_RWSTI2040,F3C,2017-07-01 00:00:00,2017-08-01 00:00:00,4844.0,4844.0,44605.0,44605.0,0,0,7.0,69.87,69.57,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO01_Z_RWSTI2040,F4C,2017-07-01 00:00:00,2017-08-01 00:00:00,179.0,179.0,44605.0,44605.0,0,0,0.0,61.84,61.84,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO01_Z_RWSTI2040,F5C,2017-07-01 00:00:00,2017-08-01 00:00:00,2027.0,2027.0,44605.0,44605.0,0,0,3.0,57.53,57.44,lane1,greaterThan 12.20,
GEO01_Z_RWSTI2040,F6C,2017-07-01 00:00:00,2017-08-01 00:00:00,81225.0,80395.0,44605.0,44605.0,0,0,109.0,77.9,77.17,lane1,anyVehicle,
GEO01_Z_RWSTI2040,F1C,2017-08-01 00:00:00,2017-09-01 00:00:00,59.0,59.0,43784.0,43784.0,0,0,0.0,73.1,73.33,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO01_Z_RWSTI2040,F2C,2017-08-01 00:00:00,2017-09-01 00:00:00,65578.0,65578.0,43784.0,43784.0,0,0,90.0,78.57,78.14,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO01_Z_RWSTI2040,F3C,2017-08-01 00:00:00,2017-09-01 00:00:00,4314.0,4314.0,43784.0,43784.0,0,0,6.0,69.35,69.36,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO01_Z_RWSTI2040,F4C,2017-08-01 00:00:00,2017-09-01 00:00:00,152.0,152.0,43784.0,43784.0,0,0,0.0,60.75,60.75,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO01_Z_RWSTI2040,F5C,2017-08-01 00:00:00,2017-09-01 00:00:00,1961.0,1961.0,43784.0,43784.0,0,0,3.0,58.06,58.03,lane1,greaterThan 12.20,
GEO01_Z_RWSTI2040,F6C,2017-08-01 00:00:00,2017-09-01 00:00:00,72693.0,72064.0,43784.0,43784.0,0,0,100.0,77.57,76.78,lane1,anyVehicle,
