"","AverageHourlyTraffic","long","lat"
"205",2938.83333333333,8.62993991,49.60637113
"206",6078.79166666667,8.43661093,48.98399876
"207",188.541666666667,7.5236556,47.67402345
"208",5577.33333333333,8.59423095,50.01282929
"209",70.375,7.53192291,47.77577429
"210",308.25,7.78949761,48.11023837
"211",1987.70833333333,8.81337276,50.59513361
"213",4742.66666666667,8.61358994,49.27077092
"214",278.583333333333,7.71984782,47.97089808
"215",1374.33333333333,7.60335354,47.59082812
"216",4144.125,8.56380906,49.32650205
"217",168.666666666667,8.54214822,49.55597667
"221",257.458333333333,7.53578488,49.41887616
"222",1775.54166666667,7.5208636,49.41491293
"223",1747.45833333333,7.22917042,49.29785321
"229",3460.04166666667,8.55934187,49.53681026
"234",162.708333333333,8.34623448,49.55403187
"235",1598.5,8.3599987,49.55482706
"239",154.333333333333,8.07367819,49.52688272
"242",2053.875,7.27979474,49.330397
"244",1398,7.8577592,49.4605945
"245",1338,7.92731989,49.47994629
"246",1888.04166666667,8.26116396,49.55263356
"248",1649.29166666667,7.32218655,49.35278903
"249",1800.54166666667,7.14816086,49.27259918
"251",2667.95833333333,7.67568094,49.44390056
"252",2521.58333333333,7.61113222,49.42404912
"253",1577.375,7.43711141,49.3881835
"254",4007.83333333333,9.24051724,49.1759046
"255",1515.58333333333,7.81390666,49.45499597
"260",2711.875,9.40532791,49.17711613
"261",1924.41666666667,7.1073179,49.26157042
"263",3694.875,8.6358187,49.27567884
"267",3976,9.54490171,50.81471667
"268",2020.58333333333,9.54185121,50.79827391
"275",2192.04166666667,9.74932702,54.31164716
"276",1648.29166666667,9.76332439,54.29264925
"285",2989.375,9.89175771,52.4203236
"286",2868.41666666667,9.57147698,50.9128031
"288",2934.54166666667,9.49465159,51.043431
"294",825.75,9.34415168,54.77581197
"295",2065.95833333333,9.71208466,50.57966518
"296",2547.75,9.99893975,49.9084187
"297",2896.125,9.87866206,51.5170855
"298",2781.54166666667,9.99526127,52.14701007
"299",1720.16666666667,9.50378447,54.50569303
"300",1843.625,9.68843254,54.35341601
"301",3271.33333333333,9.85981932,52.45778551
"302",3211.75,9.56975043,51.32369795
"305",3188.875,9.6060985,51.35026762
"306",316.916666666667,9.48165919,51.15845324
"310",2098.04166666667,9.74058506,50.51830314
"311",1625.29166666667,9.47013667,54.54194184
"315",1726.70833333333,9.71172533,50.47577062
"316",20.1666666666667,9.61685676,50.75551765
"317",2687.04166666667,9.86364126,52.32466954
"333",3058.70833333333,9.57451898,48.62842846
"338",2105.04166666667,7.24788594,49.31169432
"342",4477.04166666667,9.32528366,48.68428057
"344",1831.79166666667,6.69674464,49.35839831
"345",1438,7.28168814,49.30134762
"346",2316.29166666667,7.09450125,49.31398463
"350",2245.625,7.12580933,49.32348979
"351",1525.79166666667,6.97158267,49.351764
"353",1276.04166666667,6.80376456,49.336728
"354",1070.5,7.36698236,49.22652786
"355",2236.41666666667,7.23739281,49.32022911
"358",18.625,7.2608375,49.30766201
"359",1387.04166666667,6.63370515,49.42157204
"360",2007.45833333333,7.04510674,49.34628981
"366",1266.375,6.89451086,49.33349284
"371",1610.54166666667,6.76669204,49.34261006
"373",1136.08333333333,6.6139777,49.45266382
"374",2127.29166666667,7.13871031,49.32204143
"375",1898.54166666667,7.17363403,49.3258917
"380",1831.375,7.21843581,49.32760005
"488",874.541666666667,9.33571564,54.06586059
"489",892.833333333333,9.3749114,54.05582153
"491",2654.41666666667,9.8815604,53.62633627
"503",765.208333333333,9.57390359,53.54123197
"504",2645.45833333333,8.97268501,53.04962725
"505",3580.54166666667,8.7603414,53.13101278
"506",662.833333333333,8.66353409,53.70646151
"507",1275.95833333333,8.58149455,53.43559304
"509",1003.04166666667,7.58851231,53.25806903
"510",2840.29166666667,8.1928042,53.14663526
"511",2172.54166666667,8.48809189,53.0571603
"512",1984.79166666667,8.69200685,53.01846663
