id_meetlocatie,ndw_index,start_meetperiode,eind_meetperiode,waarnemingen_intensiteit,waarnemingen_snelheid,gebruikte_minuten_intensiteit,gebruikte_minuten_snelheid,data_error_snelheid,data_error_intensiteit,gem_intensiteit,gem_snelheid,gewogen_gem_snelheid,rijstrook_rijbaan,voertuigcategorie,technical_exclusion
GEO02_R_RWSTI4340,F13C,2017-09-01 00:00:00,2017-10-01 00:00:00,3388.0,0.0,43187.0,0.0,1,0,5.0,-1.0,-1.0,lane2,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO02_R_RWSTI4340,F14C,2017-09-01 00:00:00,2017-10-01 00:00:00,489698.0,0.0,43187.0,0.0,1,0,680.0,-1.0,-1.0,lane2,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO02_R_RWSTI4340,F15C,2017-09-01 00:00:00,2017-10-01 00:00:00,28074.0,0.0,43187.0,0.0,1,0,39.0,-1.0,-1.0,lane2,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO02_R_RWSTI4340,F16C,2017-09-01 00:00:00,2017-10-01 00:00:00,841.0,0.0,43187.0,0.0,1,0,1.0,-1.0,-1.0,lane2,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO02_R_RWSTI4340,F17C,2017-09-01 00:00:00,2017-10-01 00:00:00,13244.0,0.0,43187.0,0.0,1,0,18.0,-1.0,-1.0,lane2,greaterThan 12.20,
GEO02_R_RWSTI4340,F18C,2017-09-01 00:00:00,2017-10-01 00:00:00,544585.0,0.0,43187.0,0.0,1,0,757.0,-1.0,-1.0,lane2,anyVehicle,
GEO02_R_RWSTI4340,F1C,2017-10-01 00:00:00,2017-11-01 00:00:00,3206.0,0.0,44406.0,0.0,1,0,4.0,-1.0,-1.0,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO02_R_RWSTI4340,F2C,2017-10-01 00:00:00,2017-11-01 00:00:00,316334.0,0.0,44406.0,0.0,1,0,427.0,-1.0,-1.0,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO02_R_RWSTI4340,F3C,2017-10-01 00:00:00,2017-11-01 00:00:00,4896.0,0.0,44406.0,0.0,1,0,7.0,-1.0,-1.0,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO02_R_RWSTI4340,F4C,2017-10-01 00:00:00,2017-11-01 00:00:00,48.0,0.0,44406.0,0.0,1,0,0.0,-1.0,-1.0,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO02_R_RWSTI4340,F5C,2017-10-01 00:00:00,2017-11-01 00:00:00,316.0,0.0,44406.0,0.0,1,0,0.0,-1.0,-1.0,lane1,greaterThan 12.20,
GEO02_R_RWSTI4340,F6C,2017-10-01 00:00:00,2017-11-01 00:00:00,339372.0,0.0,44406.0,0.0,1,0,459.0,-1.0,-1.0,lane1,anyVehicle,
GEO02_R_RWSTI4340,F13C,2017-10-01 00:00:00,2017-11-01 00:00:00,3615.0,0.0,44406.0,0.0,1,0,5.0,-1.0,-1.0,lane2,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO02_R_RWSTI4340,F14C,2017-10-01 00:00:00,2017-11-01 00:00:00,496989.0,0.0,44406.0,0.0,1,0,672.0,-1.0,-1.0,lane2,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO02_R_RWSTI4340,F15C,2017-10-01 00:00:00,2017-11-01 00:00:00,28388.0,0.0,44406.0,0.0,1,0,38.0,-1.0,-1.0,lane2,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO02_R_RWSTI4340,F16C,2017-10-01 00:00:00,2017-11-01 00:00:00,804.0,0.0,44406.0,0.0,1,0,1.0,-1.0,-1.0,lane2,greaterThan 11.50 and lessThanOrEqualTo 12.20,
